id,age,department,distancefromhome,education,employeecount,gender,jobrole,job_satisfaction,marital_status,monthly_income,num_companies_worked,performancerating,total_working_years,work_life_balance,years_at_company,years_since_last_promotion
18,22,Research & Development,16,College,1,Male,Laboratory Technician,Very High,Divorced,2935,1,Excellent,1,Good,1,0
19,53,Sales,2,Master,1,Female,Manager,Very High,Married,15427,2,Excellent,31,Better,25,3
20,38,Research & Development,2,Bachelor,1,Male,Research Scientist,Very High,Single,3944,5,Excellent,6,Better,3,1
21,24,Research & Development,11,College,1,Female,Manufacturing Director,High,Divorced,4011,0,Excellent,5,Good,4,1
22,36,Sales,9,Master,1,Male,Sales Representative,Low,Single,3407,7,Outstanding,10,Better,5,0
23,34,Research & Development,7,Master,1,Female,Research Director,Medium,Single,11994,0,Excellent,13,Better,12,2
24,21,Research & Development,15,College,1,Male,Research Scientist,Very High,Single,1232,1,Excellent,0,Better,0,0
25,34,Research & Development,6,Below College,1,Male,Research Scientist,Low,Single,2960,2,Excellent,8,Better,4,1
26,53,Research & Development,5,Bachelor,1,Female,Manager,High,Divorced,19094,4,Excellent,26,Good,14,4
27,32,Research & Development,16,Below College,1,Female,Research Scientist,Low,Single,3919,1,Outstanding,10,Better,10,6
28,42,Sales,8,Master,1,Male,Sales Executive,Medium,Married,6825,0,Excellent,10,Better,9,4
29,44,Research & Development,7,Master,1,Female,Healthcare Representative,Very High,Married,10248,3,Excellent,24,Better,22,5
30,46,Sales,2,Master,1,Female,Manager,Low,Single,18947,3,Excellent,22,Good,2,2
31,33,Research & Development,2,Bachelor,1,Male,Laboratory Technician,Very High,Single,2496,4,Excellent,7,Better,1,0
32,44,Research & Development,10,Master,1,Male,Healthcare Representative,Very High,Married,6465,2,Excellent,9,Best,4,1
33,30,Research & Development,9,College,1,Male,Laboratory Technician,High,Single,2206,1,Excellent,10,Better,10,1
34,39,Sales,5,Bachelor,1,Male,Sales Representative,Very High,Married,2086,3,Excellent,19,Best,1,0
35,24,Research & Development,1,Bachelor,1,Male,Research Scientist,Very High,Married,2293,2,Excellent,6,Good,2,2
36,43,Research & Development,2,College,1,Female,Research Scientist,High,Divorced,2645,1,Excellent,6,Good,5,1
37,50,Sales,3,College,1,Male,Sales Representative,High,Married,2683,1,Excellent,3,Better,3,0
38,35,Sales,2,Bachelor,1,Female,Sales Representative,Very High,Married,2014,1,Excellent,2,Better,2,2
39,36,Research & Development,5,Master,1,Female,Research Scientist,Low,Married,3419,9,Excellent,6,Best,1,0
40,33,Sales,1,Bachelor,1,Female,Sales Executive,Low,Married,5376,2,Excellent,10,Better,5,1
41,35,Research & Development,4,College,1,Male,Laboratory Technician,Very High,Divorced,1951,1,Excellent,1,Better,1,0
42,27,Research & Development,2,Master,1,Female,Laboratory Technician,Low,Divorced,2341,1,Excellent,1,Better,1,0
43,26,Research & Development,25,Bachelor,1,Male,Laboratory Technician,High,Single,2293,1,Excellent,1,Good,1,0
44,27,Sales,8,Bachelor,1,Male,Sales Executive,High,Single,8726,1,Excellent,9,Better,9,1
45,30,Research & Development,1,College,1,Female,Laboratory Technician,Very High,Single,4011,1,Outstanding,12,Better,12,3
46,41,Research & Development,12,Bachelor,1,Female,Research Director,High,Married,19545,1,Excellent,23,Better,22,15
47,34,Sales,23,Master,1,Male,Sales Executive,High,Single,4568,0,Outstanding,10,Better,9,8
48,37,Research & Development,19,College,1,Male,Research Scientist,Medium,Married,3022,4,Outstanding,8,Better,1,0
49,46,Sales,5,Master,1,Male,Sales Executive,Very High,Single,5772,4,Outstanding,14,Better,9,0
50,35,Research & Development,8,Below College,1,Male,Laboratory Technician,Very High,Married,2269,1,Excellent,1,Better,1,0
51,48,Research & Development,1,College,1,Male,Laboratory Technician,High,Single,5381,9,Excellent,23,Better,1,0
52,28,Research & Development,5,Master,1,Male,Laboratory Technician,High,Single,3441,1,Excellent,2,Good,2,2
53,44,Sales,1,Doctor,1,Female,Sales Executive,Low,Divorced,5454,5,Outstanding,9,Good,4,1
54,35,Research & Development,11,College,1,Male,Healthcare Representative,Low,Married,9884,2,Excellent,10,Better,4,2
55,26,Sales,23,Bachelor,1,Female,Sales Executive,Very High,Married,4157,7,Excellent,5,Good,2,0
56,33,Research & Development,1,College,1,Female,Research Director,Very High,Single,13458,1,Excellent,15,Better,15,8
57,35,Sales,18,Doctor,1,Male,Sales Executive,Low,Married,9069,1,Outstanding,9,Good,9,1
58,35,Research & Development,23,Master,1,Female,Laboratory Technician,Low,Married,4014,3,Excellent,4,Better,2,2
59,31,Research & Development,7,Master,1,Male,Laboratory Technician,Very High,Divorced,5915,3,Outstanding,10,Good,7,1
60,37,Research & Development,1,Master,1,Male,Manufacturing Director,High,Divorced,5993,1,Excellent,7,Best,7,0
61,32,Research & Development,1,Bachelor,1,Male,Manufacturing Director,Very High,Married,6162,1,Outstanding,9,Better,9,7
62,38,Research & Development,29,Doctor,1,Female,Laboratory Technician,Very High,Single,2406,1,Excellent,10,Better,10,9
63,50,Research & Development,7,College,1,Female,Research Director,High,Divorced,18740,5,Excellent,29,Good,27,13
64,59,Sales,25,Bachelor,1,Female,Sales Executive,Low,Single,7637,7,Excellent,28,Good,21,7
65,36,Research & Development,8,Bachelor,1,Female,Healthcare Representative,High,Divorced,10096,1,Excellent,17,Better,17,12
66,55,Research & Development,8,Bachelor,1,Female,Manager,High,Divorced,14756,2,Excellent,21,Better,5,0
67,36,Research & Development,11,Bachelor,1,Male,Manufacturing Director,Medium,Single,6499,1,Excellent,6,Better,6,0
68,45,Research & Development,7,Bachelor,1,Male,Research Scientist,Low,Divorced,9724,2,Excellent,25,Better,1,0
69,35,Research & Development,1,Bachelor,1,Male,Research Scientist,Low,Married,2194,4,Excellent,5,Good,3,1
70,36,Research & Development,9,Bachelor,1,Male,Research Scientist,High,Married,3388,0,Excellent,2,Good,1,0
71,59,Sales,1,Below College,1,Female,Sales Executive,High,Single,5473,7,Excellent,20,Good,4,1
72,29,Research & Development,2,Bachelor,1,Male,Research Scientist,Medium,Married,2703,0,Outstanding,6,Better,5,0
73,31,Research & Development,1,Master,1,Male,Research Scientist,Medium,Single,2501,1,Excellent,1,Better,1,1
74,32,Research & Development,1,Bachelor,1,Male,Research Scientist,Medium,Married,6220,1,Excellent,10,Better,10,0
75,36,Research & Development,6,Bachelor,1,Female,Laboratory Technician,Very High,Married,3038,3,Excellent,5,Better,1,0
76,31,Research & Development,8,Master,1,Female,Manufacturing Director,Very High,Single,4424,1,Outstanding,11,Better,11,1
77,35,Sales,1,Master,1,Male,Sales Executive,Low,Single,4312,0,Excellent,16,Better,15,2
78,45,Research & Development,6,Master,1,Male,Research Director,Low,Married,13245,4,Excellent,17,Best,0,0
79,37,Research & Development,7,Master,1,Male,Research Director,High,Single,13664,4,Excellent,16,Best,5,0
80,46,Human Resources,5,College,1,Male,Human Resources,Medium,Divorced,5021,8,Outstanding,16,Better,4,0
81,30,Research & Development,1,Below College,1,Male,Laboratory Technician,Very High,Married,5126,1,Excellent,10,Good,10,3
82,35,Research & Development,1,Bachelor,1,Male,Research Scientist,High,Single,2859,1,Excellent,6,Better,6,0
83,55,Sales,1,College,1,Male,Sales Executive,Very High,Married,10239,3,Excellent,24,Better,1,1
84,38,Research & Development,6,Bachelor,1,Female,Research Scientist,Very High,Divorced,5329,7,Excellent,17,Better,13,1
85,34,Research & Development,1,College,1,Male,Manufacturing Director,Medium,Married,4325,1,Excellent,5,Better,5,1
86,56,Research & Development,7,Bachelor,1,Male,Manufacturing Director,Very High,Single,7260,4,Excellent,37,Good,6,0
87,23,Sales,2,Below College,1,Male,Sales Representative,Low,Divorced,2322,3,Excellent,3,Better,0,0
88,51,Research & Development,9,Master,1,Male,Laboratory Technician,Very High,Married,2075,3,Outstanding,10,Better,4,0
89,30,Research & Development,2,Bachelor,1,Male,Healthcare Representative,Very High,Married,4152,1,Excellent,11,Better,11,10
90,46,Sales,9,College,1,Male,Sales Executive,Very High,Single,9619,1,Excellent,9,Better,9,4
91,40,Research & Development,1,Master,1,Male,Healthcare Representative,Medium,Married,13503,1,Outstanding,22,Good,22,11
92,51,Sales,21,Master,1,Male,Sales Executive,Very High,Single,5441,0,Outstanding,11,Bad,10,1
93,30,Sales,4,College,1,Female,Sales Executive,Medium,Divorced,5209,1,Excellent,11,Good,11,2
94,46,Research & Development,1,Bachelor,1,Male,Healthcare Representative,Low,Married,10673,2,Excellent,21,Good,10,9
95,32,Sales,6,Master,1,Male,Sales Executive,High,Single,5010,1,Excellent,12,Better,11,5
96,54,Research & Development,2,Master,1,Female,Research Director,High,Married,13549,9,Excellent,16,Bad,4,0
97,24,Sales,3,College,1,Female,Sales Executive,High,Married,4999,0,Outstanding,4,Good,3,0
98,28,Sales,4,Bachelor,1,Male,Sales Executive,High,Married,4221,1,Excellent,5,Best,5,0
99,58,Sales,10,Master,1,Male,Sales Executive,High,Single,13872,0,Excellent,38,Good,37,1
100,44,Research & Development,23,Bachelor,1,Male,Laboratory Technician,Medium,Married,2042,4,Excellent,17,Best,3,1
101,37,Human Resources,6,Master,1,Male,Human Resources,Low,Divorced,2073,4,Outstanding,7,Better,3,0
102,32,Research & Development,1,Below College,1,Male,Research Scientist,Low,Single,2956,1,Excellent,1,Better,1,0
103,20,Research & Development,6,Bachelor,1,Female,Laboratory Technician,Very High,Single,2926,1,Excellent,1,Better,1,1
104,34,Research & Development,6,Master,1,Female,Research Scientist,High,Single,4809,1,Excellent,16,Better,16,2
105,37,Research & Development,2,College,1,Male,Healthcare Representative,Very High,Divorced,5163,5,Excellent,17,Best,1,0
106,59,Human Resources,2,Master,1,Female,Manager,Very High,Married,18844,9,Outstanding,30,Better,3,2
107,50,Research & Development,1,Bachelor,1,Female,Research Director,Medium,Married,18172,3,Excellent,28,Good,8,0
108,25,Sales,5,Bachelor,1,Male,Sales Executive,High,Single,5744,1,Excellent,6,Better,6,0
109,25,Research & Development,7,Below College,1,Male,Research Scientist,Very High,Married,2889,1,Excellent,2,Better,2,2
110,22,Research & Development,15,Bachelor,1,Female,Laboratory Technician,Very High,Single,2871,1,Excellent,1,Better,0,0
111,51,Research & Development,1,Master,1,Female,Healthcare Representative,Low,Single,7484,3,Outstanding,23,Good,13,12
112,34,Research & Development,7,Bachelor,1,Male,Laboratory Technician,High,Single,6074,1,Outstanding,9,Better,9,0
113,54,Human Resources,26,Bachelor,1,Female,Manager,Very High,Single,17328,2,Excellent,23,Better,5,4
114,24,Research & Development,18,Below College,1,Male,Laboratory Technician,High,Married,2774,0,Excellent,6,Better,5,1
115,34,Research & Development,6,Master,1,Female,Research Scientist,Medium,Divorced,4505,6,Excellent,12,Better,1,0
116,37,Sales,3,Bachelor,1,Male,Sales Executive,Very High,Single,7428,2,Excellent,12,Better,5,1
117,34,Research & Development,5,Bachelor,1,Female,Manager,Low,Single,11631,2,Excellent,14,Better,11,5
118,36,Sales,11,College,1,Female,Sales Executive,Very High,Married,9738,0,Excellent,10,Better,9,2
119,36,Research & Development,3,College,1,Female,Laboratory Technician,Very High,Divorced,2835,5,Outstanding,7,Better,1,0
120,43,Sales,26,College,1,Male,Manager,Very High,Married,16959,1,Excellent,25,Best,25,4
121,30,Research & Development,23,Bachelor,1,Male,Research Scientist,High,Divorced,2613,1,Outstanding,10,Good,10,0
122,33,Sales,22,College,1,Male,Sales Executive,Medium,Married,6146,0,Excellent,8,Best,7,0
123,56,Research & Development,14,Master,1,Female,Research Scientist,Medium,Married,4963,9,Excellent,7,Better,5,4
124,51,Research & Development,6,Bachelor,1,Male,Research Director,High,Single,19537,7,Excellent,23,Better,20,15
125,31,Sales,6,Master,1,Male,Sales Executive,High,Married,6172,4,Excellent,12,Good,7,7
126,26,Research & Development,6,Bachelor,1,Female,Research Scientist,Medium,Married,2368,1,Excellent,5,Good,5,4
127,58,Research & Development,23,Master,1,Female,Healthcare Representative,Very High,Married,10312,1,Excellent,40,Good,40,15
128,19,Sales,22,Below College,1,Male,Sales Representative,High,Single,1675,1,Excellent,0,Good,0,0
129,22,Research & Development,2,Below College,1,Male,Laboratory Technician,Very High,Married,2523,0,Excellent,3,Better,2,2
130,49,Research & Development,20,Master,1,Female,Manufacturing Director,Low,Married,6567,1,Excellent,16,Good,15,5
131,43,Research & Development,28,Bachelor,1,Female,Research Scientist,High,Single,4739,4,Excellent,18,Better,3,1
132,50,Sales,12,Bachelor,1,Female,Sales Executive,Very High,Single,9208,4,Excellent,16,Better,2,2
133,31,Sales,20,Bachelor,1,Female,Sales Executive,High,Married,4559,3,Excellent,4,Better,2,2
134,41,Sales,9,Below College,1,Male,Sales Executive,High,Divorced,8189,3,Excellent,12,Better,9,0
135,26,Human Resources,25,Below College,1,Female,Human Resources,High,Married,2942,1,Outstanding,8,Better,8,5
136,36,Research & Development,6,College,1,Male,Manufacturing Director,Medium,Divorced,4941,6,Outstanding,7,Better,3,0
137,51,Research & Development,8,Master,1,Male,Manufacturing Director,Very High,Single,10650,2,Excellent,18,Better,4,0
138,39,Sales,4,Master,1,Female,Sales Executive,High,Married,5902,4,Excellent,17,Best,15,5
139,25,Sales,28,Bachelor,1,Male,Sales Executive,High,Married,8639,2,Excellent,6,Better,2,2
140,30,Human Resources,9,Bachelor,1,Male,Human Resources,Very High,Married,6347,0,Excellent,12,Bad,11,4
141,32,Research & Development,9,Bachelor,1,Female,Laboratory Technician,Low,Single,4200,7,Outstanding,10,Best,5,0
142,45,Research & Development,29,Bachelor,1,Male,Research Scientist,Very High,Single,3452,5,Excellent,9,Good,6,0
143,38,Research & Development,3,Doctor,1,Female,Research Scientist,High,Single,4317,3,Outstanding,19,Better,3,2
144,30,Research & Development,18,Bachelor,1,Female,Research Scientist,High,Single,2632,1,Excellent,5,Good,5,0
145,32,Sales,9,College,1,Male,Sales Executive,Very High,Divorced,4668,0,Excellent,9,Best,8,0
146,30,Research & Development,5,Bachelor,1,Female,Research Scientist,Low,Divorced,3204,5,Excellent,8,Better,3,2
147,30,Research & Development,2,Below College,1,Male,Laboratory Technician,Very High,Single,2720,0,Excellent,6,Better,5,1
148,41,Research & Development,10,Bachelor,1,Male,Manager,Low,Divorced,17181,4,Excellent,21,Good,7,7
149,41,Research & Development,9,Master,1,Male,Laboratory Technician,Low,Married,2238,2,Outstanding,7,Better,5,1
150,19,Research & Development,3,Below College,1,Female,Laboratory Technician,Medium,Single,1483,1,Excellent,1,Better,1,0
151,40,Research & Development,26,Bachelor,1,Female,Research Scientist,Medium,Divorced,5605,1,Excellent,20,Better,20,2
152,35,Sales,1,Doctor,1,Male,Sales Executive,Medium,Married,7295,1,Excellent,10,Better,10,0
153,53,Sales,6,College,1,Male,Sales Representative,High,Married,2306,2,Outstanding,13,Bad,7,4
154,45,Research & Development,9,Bachelor,1,Male,Laboratory Technician,Medium,Divorced,2348,8,Excellent,20,Bad,17,0
155,32,Sales,8,Bachelor,1,Female,Sales Executive,Very High,Single,8998,1,Excellent,9,Better,9,3
156,29,Research & Development,1,Below College,1,Male,Manufacturing Director,High,Married,4319,1,Excellent,10,Better,10,0
157,51,Research & Development,7,Master,1,Male,Manufacturing Director,High,Married,6132,2,Excellent,10,Better,1,0
158,58,Research & Development,9,Bachelor,1,Female,Research Scientist,Medium,Married,3346,4,Outstanding,9,Good,1,0
159,40,Sales,4,Master,1,Male,Sales Executive,Very High,Married,10855,7,Excellent,15,Good,12,2
160,34,Sales,2,Master,1,Female,Sales Representative,High,Married,2231,6,Excellent,6,Better,4,1
161,22,Research & Development,19,Below College,1,Male,Research Scientist,Very High,Married,2323,1,Outstanding,2,Better,2,2
162,27,Research & Development,9,Bachelor,1,Male,Research Scientist,Medium,Divorced,2024,6,Excellent,6,Bad,2,2
163,28,Research & Development,21,Bachelor,1,Male,Research Scientist,Very High,Married,2713,1,Excellent,5,Bad,5,0
164,57,Research & Development,24,College,1,Male,Healthcare Representative,Very High,Divorced,9439,3,Excellent,12,Bad,5,1
165,27,Research & Development,3,Bachelor,1,Male,Research Scientist,High,Divorced,2566,1,Excellent,1,Good,1,0
166,50,Research & Development,11,Bachelor,1,Female,Manager,Medium,Single,19926,3,Excellent,21,Better,5,4
167,41,Research & Development,14,Bachelor,1,Male,Research Scientist,High,Divorced,2451,4,Excellent,13,Better,9,1
168,30,Sales,5,Bachelor,1,Female,Sales Executive,Very High,Married,9419,2,Excellent,12,Better,10,7
169,38,Sales,1,Master,1,Female,Sales Executive,Very High,Single,8686,4,Outstanding,12,Best,8,0
170,32,Research & Development,6,Doctor,1,Male,Research Scientist,High,Single,3038,3,Outstanding,8,Better,5,1
171,27,Research & Development,17,Bachelor,1,Male,Research Scientist,Medium,Married,3058,0,Excellent,6,Good,5,1
172,19,Sales,1,Below College,1,Female,Sales Representative,Low,Single,2325,0,Outstanding,1,Best,0,0
173,36,Research & Development,3,College,1,Male,Laboratory Technician,Medium,Single,2088,4,Excellent,13,Good,8,7
174,30,Research & Development,9,Bachelor,1,Male,Laboratory Technician,Low,Divorced,3072,1,Excellent,12,Better,12,6
175,45,Sales,4,College,1,Female,Sales Executive,Low,Divorced,5006,4,Excellent,9,Best,5,0
176,56,Research & Development,8,Bachelor,1,Female,Research Scientist,Low,Divorced,4257,4,Excellent,19,Better,2,2
177,33,Research & Development,2,Bachelor,1,Male,Research Scientist,Very High,Single,2500,0,Excellent,4,Best,3,0
178,19,Research & Development,2,Bachelor,1,Male,Laboratory Technician,Very High,Single,1102,1,Outstanding,1,Good,1,1
179,46,Sales,1,College,1,Female,Sales Executive,Low,Divorced,10453,1,Outstanding,24,Better,24,15
180,38,Research & Development,9,College,1,Female,Laboratory Technician,Very High,Single,2288,1,Excellent,2,Better,2,2
181,31,Research & Development,12,Below College,1,Female,Research Scientist,Very High,Married,3929,8,Outstanding,7,Better,4,0
182,34,Research & Development,27,College,1,Female,Research Scientist,Medium,Single,2311,2,Excellent,9,Better,3,1
183,41,Sales,20,College,1,Female,Sales Representative,Medium,Single,3140,1,Outstanding,4,Good,4,0
184,50,Research & Development,1,Bachelor,1,Male,Laboratory Technician,High,Married,3690,2,Excellent,5,Good,3,0
185,53,Research & Development,13,College,1,Female,Manufacturing Director,Low,Divorced,4450,1,Excellent,5,Better,4,1
186,33,Research & Development,14,Bachelor,1,Female,Research Scientist,Medium,Married,2756,1,Excellent,8,Better,8,1
187,40,Research & Development,4,Below College,1,Female,Manager,High,Married,19033,1,Excellent,21,Better,20,9
188,55,Research & Development,14,Master,1,Male,Research Director,Medium,Single,18722,8,Excellent,36,Better,24,2
189,34,Research & Development,2,Below College,1,Male,Manufacturing Director,High,Married,9547,1,Excellent,10,Good,10,1
190,51,Research & Development,3,Bachelor,1,Female,Healthcare Representative,Medium,Single,13734,3,Excellent,21,Better,7,1
191,52,Research & Development,1,Master,1,Male,Manager,High,Married,19999,0,Excellent,34,Better,33,11
192,27,Research & Development,9,Bachelor,1,Female,Research Scientist,Medium,Single,2279,1,Excellent,7,Good,7,0
193,35,Research & Development,23,College,1,Male,Manufacturing Director,High,Married,5916,3,Excellent,8,Better,1,0
194,43,Research & Development,7,Bachelor,1,Male,Research Scientist,Very High,Divorced,2089,4,Excellent,7,Best,5,2
195,45,Research & Development,2,College,1,Male,Manager,Very High,Married,16792,9,Outstanding,22,Better,20,11
196,37,Research & Development,21,Bachelor,1,Male,Research Scientist,Low,Married,3564,1,Excellent,8,Good,8,1
197,35,Research & Development,2,Bachelor,1,Female,Laboratory Technician,Medium,Single,4425,5,Excellent,10,Better,6,1
198,42,Research & Development,21,College,1,Female,Manufacturing Director,High,Divorced,5265,2,Excellent,11,Better,5,0
199,38,Research & Development,2,Master,1,Male,Manufacturing Director,High,Married,6553,9,Excellent,14,Better,1,0
200,38,Research & Development,29,Bachelor,1,Male,Manufacturing Director,Very High,Married,6261,3,Excellent,9,Bad,7,1
201,27,Research & Development,1,Below College,1,Male,Manufacturing Director,Low,Married,4298,5,Excellent,6,Better,2,2
202,49,Research & Development,18,Master,1,Male,Manufacturing Director,Very High,Divorced,6804,1,Excellent,7,Better,7,1
203,34,Research & Development,10,Master,1,Male,Research Scientist,High,Divorced,3815,1,Excellent,5,Best,5,2
204,40,Research & Development,19,College,1,Male,Laboratory Technician,Very High,Married,2741,8,Excellent,15,Best,7,3
205,38,Research & Development,29,Below College,1,Male,Healthcare Representative,Low,Married,6673,7,Excellent,17,Better,1,0
206,29,Sales,27,Bachelor,1,Female,Sales Executive,Very High,Married,7639,1,Outstanding,10,Good,10,1
207,22,Research & Development,5,Bachelor,1,Male,Research Scientist,Medium,Divorced,2328,1,Excellent,4,Good,4,2
208,36,Research & Development,18,Below College,1,Female,Laboratory Technician,Very High,Single,2153,1,Excellent,8,Better,8,1
209,40,Research & Development,9,Doctor,1,Male,Healthcare Representative,Very High,Married,4876,9,Excellent,5,Bad,3,0
210,46,Research & Development,1,Master,1,Male,Healthcare Representative,Low,Divorced,9396,7,Excellent,17,Better,4,0
211,32,Sales,4,Master,1,Male,Sales Executive,Very High,Married,10400,1,Excellent,14,Good,14,9
212,30,Research & Development,1,Below College,1,Male,Manufacturing Director,High,Single,8474,1,Outstanding,12,Better,11,5
213,27,Sales,20,Bachelor,1,Female,Sales Executive,High,Single,9981,1,Excellent,7,Better,7,0
214,51,Research & Development,8,Master,1,Male,Research Director,Medium,Married,12490,5,Excellent,16,Bad,10,4
215,30,Research & Development,3,Bachelor,1,Female,Research Scientist,Low,Single,2657,5,Excellent,8,Better,5,0
216,41,Sales,6,Bachelor,1,Female,Manager,Very High,Single,13591,3,Excellent,16,Better,1,0
217,30,Sales,26,Master,1,Female,Sales Executive,Low,Single,6696,5,Excellent,9,Good,6,0
218,29,Research & Development,1,Bachelor,1,Male,Research Scientist,High,Single,2058,0,Excellent,7,Good,6,1
219,45,Sales,6,Bachelor,1,Female,Sales Executive,Very High,Single,8865,6,Excellent,23,Better,19,12
220,54,Sales,3,Bachelor,1,Female,Sales Executive,Low,Married,5940,2,Excellent,16,Better,6,0
221,36,Research & Development,5,College,1,Male,Laboratory Technician,Medium,Single,5914,8,Excellent,16,Best,13,3
222,33,Research & Development,4,Master,1,Female,Research Scientist,Medium,Married,2622,6,Outstanding,7,Better,3,1
223,37,Research & Development,11,Bachelor,1,Male,Research Director,Very High,Divorced,12185,1,Excellent,10,Better,10,0
224,38,Sales,3,Bachelor,1,Male,Sales Executive,High,Divorced,10609,0,Excellent,17,Good,16,5
225,31,Research & Development,1,Master,1,Male,Manufacturing Director,High,Married,4345,0,Excellent,6,Better,5,1
226,59,Research & Development,3,Bachelor,1,Male,Research Scientist,Very High,Married,2177,3,Excellent,7,Better,1,0
227,37,Sales,4,Master,1,Male,Sales Representative,Very High,Divorced,2793,4,Excellent,13,Better,9,5
228,29,Sales,1,Below College,1,Female,Sales Executive,Very High,Married,7918,1,Excellent,11,Better,11,4
229,35,Sales,1,Bachelor,1,Female,Sales Executive,High,Single,8789,1,Excellent,10,Best,10,0
230,29,Research & Development,18,Below College,1,Male,Research Scientist,Very High,Single,2389,1,Excellent,4,Good,4,0
231,52,Research & Development,2,Bachelor,1,Female,Laboratory Technician,Very High,Single,3212,7,Excellent,6,Good,2,2
232,42,Research & Development,4,College,1,Male,Manager,Very High,Married,19232,1,Excellent,22,Better,22,11
233,59,Human Resources,6,College,1,Male,Human Resources,High,Married,2267,8,Excellent,7,Good,2,2
234,50,Sales,1,Master,1,Female,Manager,Very High,Divorced,19517,3,Excellent,32,Good,7,0
235,33,Research & Development,14,Bachelor,1,Male,Laboratory Technician,Very High,Married,2436,5,Excellent,8,Bad,5,0
236,43,Sales,16,Bachelor,1,Female,Manager,Very High,Married,16064,5,Outstanding,22,Better,17,1
237,33,Research & Development,2,College,1,Female,Laboratory Technician,Low,Married,2707,7,Outstanding,13,Best,9,1
238,52,Sales,2,Master,1,Male,Manager,High,Single,19068,1,Excellent,33,Best,33,15
239,32,Sales,4,College,1,Female,Sales Representative,Medium,Married,3931,2,Excellent,6,Better,4,1
240,32,Research & Development,1,Bachelor,1,Male,Laboratory Technician,High,Single,3730,0,Excellent,4,Bad,3,1
241,39,Research & Development,1,Master,1,Female,Laboratory Technician,High,Divorced,2232,7,Excellent,7,Better,3,1
242,32,Sales,26,Master,1,Male,Sales Executive,Very High,Married,4465,0,Excellent,4,Better,3,2
243,41,Research & Development,19,College,1,Male,Research Scientist,Low,Divorced,3072,2,Excellent,17,Good,1,0
244,40,Research & Development,24,College,1,Male,Research Scientist,Very High,Divorced,3319,1,Excellent,9,Better,9,4
245,45,Research & Development,1,Bachelor,1,Male,Manager,Very High,Married,19202,0,Excellent,25,Better,24,1
246,31,Research & Development,3,Master,1,Male,Research Director,High,Divorced,13675,9,Excellent,9,Better,2,2
247,33,Research & Development,5,Master,1,Female,Research Scientist,Very High,Married,2911,1,Excellent,2,Good,2,0
248,34,Research & Development,2,Master,1,Male,Manufacturing Director,Low,Married,5957,6,Excellent,13,Better,11,5
249,37,Research & Development,1,College,1,Female,Research Scientist,Low,Married,3920,2,Excellent,17,Good,3,0
250,45,Research & Development,7,Master,1,Male,Manufacturing Director,High,Married,6434,4,Excellent,9,Better,3,0
251,37,Research & Development,10,Bachelor,1,Male,Manufacturing Director,High,Divorced,10048,6,Excellent,17,Better,1,0
252,39,Research & Development,2,Master,1,Female,Healthcare Representative,High,Single,10938,0,Outstanding,20,Better,19,11
253,29,Research & Development,15,Bachelor,1,Male,Research Scientist,Very High,Single,2340,1,Excellent,6,Better,6,1
254,42,Research & Development,17,College,1,Female,Research Scientist,Low,Single,6545,3,Excellent,10,Better,3,0
255,29,Sales,20,College,1,Male,Sales Executive,Very High,Divorced,6931,2,Excellent,10,Better,3,0
256,25,Research & Development,1,Bachelor,1,Female,Manufacturing Director,High,Married,4898,0,Excellent,5,Better,4,1
