"id","age","department","distance_from_home","education","employee_count","gender","job_role","job_satisfaction","marital_status","monthly_income","yearly_income","num_companies_worked","performance_rating","total_working_years","years_at_company","years_since_last_promotion"
30,46,"Sales",2,"Master",1,"Female","Manager","Low","Single",18947,227364,3,"Excellent",22,2,2
31,33,"Research & Development",2,"Bachelor",1,"Male","Laboratory Technician","Very High","Single",2496,29952,4,"Excellent",7,1,0
32,44,"Research & Development",10,"Master",1,"Male","Healthcare Representative","Very High","Married",6465,77580,2,"Excellent",9,4,1
33,30,"Research & Development",9,"College",1,"Male","Laboratory Technician","High","Single",2206,26472,1,"Excellent",10,10,1
34,39,"Sales",5,"Bachelor",1,"Male","Sales Representative","Very High","Married",2086,25032,3,"Excellent",19,1,0
35,24,"Research & Development",1,"Bachelor",1,"Male","Research Scientist","Very High","Married",2293,27516,2,"Excellent",6,2,2
36,43,"Research & Development",2,"College",1,"Female","Research Scientist","High","Divorced",2645,31740,1,"Excellent",6,5,1
37,50,"Sales",3,"College",1,"Male","Sales Representative","High","Married",2683,32196,1,"Excellent",3,3,0
38,35,"Sales",2,"Bachelor",1,"Female","Sales Representative","Very High","Married",2014,24168,1,"Excellent",2,2,2
39,36,"Research & Development",5,"Master",1,"Female","Research Scientist","Low","Married",3419,41028,9,"Excellent",6,1,0
40,33,"Sales",1,"Bachelor",1,"Female","Sales Executive","Low","Married",5376,64512,2,"Excellent",10,5,1
41,35,"Research & Development",4,"College",1,"Male","Laboratory Technician","Very High","Divorced",1951,23412,1,"Excellent",1,1,0
42,27,"Research & Development",2,"Master",1,"Female","Laboratory Technician","Low","Divorced",2341,28092,1,"Excellent",1,1,0
43,26,"Research & Development",25,"Bachelor",1,"Male","Laboratory Technician","High","Single",2293,27516,1,"Excellent",1,1,0
44,27,"Sales",8,"Bachelor",1,"Male","Sales Executive","High","Single",8726,104712,1,"Excellent",9,9,1
45,30,"Research & Development",1,"College",1,"Female","Laboratory Technician","Very High","Single",4011,48132,1,"Outstanding",12,12,3
46,41,"Research & Development",12,"Bachelor",1,"Female","Research Director","High","Married",19545,234540,1,"Excellent",23,22,15
47,34,"Sales",23,"Master",1,"Male","Sales Executive","High","Single",4568,54816,0,"Outstanding",10,9,8
48,37,"Research & Development",19,"College",1,"Male","Research Scientist","Medium","Married",3022,36264,4,"Outstanding",8,1,0
49,46,"Sales",5,"Master",1,"Male","Sales Executive","Very High","Single",5772,69264,4,"Outstanding",14,9,0
51,48,"Research & Development",1,"College",1,"Male","Laboratory Technician","High","Single",5381,64572,9,"Excellent",23,1,0
52,28,"Research & Development",5,"Master",1,"Male","Laboratory Technician","High","Single",3441,41292,1,"Excellent",2,2,2
53,44,"Sales",1,"Doctor",1,"Female","Sales Executive","Low","Divorced",5454,65448,5,"Outstanding",9,4,1
54,35,"Research & Development",11,"College",1,"Male","Healthcare Representative","Low","Married",9884,118608,2,"Excellent",10,4,2
55,26,"Sales",23,"Bachelor",1,"Female","Sales Executive","Very High","Married",4157,49884,7,"Excellent",5,2,0
56,33,"Research & Development",1,"College",1,"Female","Research Director","Very High","Single",13458,161496,1,"Excellent",15,15,8
57,35,"Sales",18,"Doctor",1,"Male","Sales Executive","Low","Married",9069,108828,1,"Outstanding",9,9,1
58,35,"Research & Development",23,"Master",1,"Female","Laboratory Technician","Low","Married",4014,48168,3,"Excellent",4,2,2
59,31,"Research & Development",7,"Master",1,"Male","Laboratory Technician","Very High","Divorced",5915,70980,3,"Outstanding",10,7,1
60,37,"Research & Development",1,"Master",1,"Male","Manufacturing Director","High","Divorced",5993,71916,1,"Excellent",7,7,0
61,32,"Research & Development",1,"Bachelor",1,"Male","Manufacturing Director","Very High","Married",6162,73944,1,"Outstanding",9,9,7
62,38,"Research & Development",29,"Doctor",1,"Female","Laboratory Technician","Very High","Single",2406,28872,1,"Excellent",10,10,9
63,50,"Research & Development",7,"College",1,"Female","Research Director","High","Divorced",18740,224880,5,"Excellent",29,27,13
64,59,"Sales",25,"Bachelor",1,"Female","Sales Executive","Low","Single",7637,91644,7,"Excellent",28,21,7
65,36,"Research & Development",8,"Bachelor",1,"Female","Healthcare Representative","High","Divorced",10096,121152,1,"Excellent",17,17,12
66,55,"Research & Development",8,"Bachelor",1,"Female","Manager","High","Divorced",14756,177072,2,"Excellent",21,5,0
67,36,"Research & Development",11,"Bachelor",1,"Male","Manufacturing Director","Medium","Single",6499,77988,1,"Excellent",6,6,0
68,45,"Research & Development",7,"Bachelor",1,"Male","Research Scientist","Low","Divorced",9724,116688,2,"Excellent",25,1,0
69,35,"Research & Development",1,"Bachelor",1,"Male","Research Scientist","Low","Married",2194,26328,4,"Excellent",5,3,1
70,36,"Research & Development",9,"Bachelor",1,"Male","Research Scientist","High","Married",3388,40656,0,"Excellent",2,1,0
72,29,"Research & Development",2,"Bachelor",1,"Male","Research Scientist","Medium","Married",2703,32436,0,"Outstanding",6,5,0
73,31,"Research & Development",1,"Master",1,"Male","Research Scientist","Medium","Single",2501,30012,1,"Excellent",1,1,1
74,32,"Research & Development",1,"Bachelor",1,"Male","Research Scientist","Medium","Married",6220,74640,1,"Excellent",10,10,0
75,36,"Research & Development",6,"Bachelor",1,"Female","Laboratory Technician","Very High","Married",3038,36456,3,"Excellent",5,1,0
76,31,"Research & Development",8,"Master",1,"Female","Manufacturing Director","Very High","Single",4424,53088,1,"Outstanding",11,11,1
77,35,"Sales",1,"Master",1,"Male","Sales Executive","Low","Single",4312,51744,0,"Excellent",16,15,2
78,45,"Research & Development",6,"Master",1,"Male","Research Director","Low","Married",13245,158940,4,"Excellent",17,0,0
79,37,"Research & Development",7,"Master",1,"Male","Research Director","High","Single",13664,163968,4,"Excellent",16,5,0
80,46,"Human Resources",5,"College",1,"Male","Human Resources","Medium","Divorced",5021,60252,8,"Outstanding",16,4,0
82,35,"Research & Development",1,"Bachelor",1,"Male","Research Scientist","High","Single",2859,34308,1,"Excellent",6,6,0
83,55,"Sales",1,"College",1,"Male","Sales Executive","Very High","Married",10239,122868,3,"Excellent",24,1,1
84,38,"Research & Development",6,"Bachelor",1,"Female","Research Scientist","Very High","Divorced",5329,63948,7,"Excellent",17,13,1
85,34,"Research & Development",1,"College",1,"Male","Manufacturing Director","Medium","Married",4325,51900,1,"Excellent",5,5,1
86,56,"Research & Development",7,"Bachelor",1,"Male","Manufacturing Director","Very High","Single",7260,87120,4,"Excellent",37,6,0
88,51,"Research & Development",9,"Master",1,"Male","Laboratory Technician","Very High","Married",2075,24900,3,"Outstanding",10,4,0
89,30,"Research & Development",2,"Bachelor",1,"Male","Healthcare Representative","Very High","Married",4152,49824,1,"Excellent",11,11,10
90,46,"Sales",9,"College",1,"Male","Sales Executive","Very High","Single",9619,115428,1,"Excellent",9,9,4
91,40,"Research & Development",1,"Master",1,"Male","Healthcare Representative","Medium","Married",13503,162036,1,"Outstanding",22,22,11
92,51,"Sales",21,"Master",1,"Male","Sales Executive","Very High","Single",5441,65292,0,"Outstanding",11,10,1
93,30,"Sales",4,"College",1,"Female","Sales Executive","Medium","Divorced",5209,62508,1,"Excellent",11,11,2
94,46,"Research & Development",1,"Bachelor",1,"Male","Healthcare Representative","Low","Married",10673,128076,2,"Excellent",21,10,9
95,32,"Sales",6,"Master",1,"Male","Sales Executive","High","Single",5010,60120,1,"Excellent",12,11,5
96,54,"Research & Development",2,"Master",1,"Female","Research Director","High","Married",13549,162588,9,"Excellent",16,4,0
97,24,"Sales",3,"College",1,"Female","Sales Executive","High","Married",4999,59988,0,"Outstanding",4,3,0
98,28,"Sales",4,"Bachelor",1,"Male","Sales Executive","High","Married",4221,50652,1,"Excellent",5,5,0
99,58,"Sales",10,"Master",1,"Male","Sales Executive","High","Single",13872,166464,0,"Excellent",38,37,1
100,44,"Research & Development",23,"Bachelor",1,"Male","Laboratory Technician","Medium","Married",2042,24504,4,"Excellent",17,3,1
101,37,"Human Resources",6,"Master",1,"Male","Human Resources","Low","Divorced",2073,24876,4,"Outstanding",7,3,0
103,20,"Research & Development",6,"Bachelor",1,"Female","Laboratory Technician","Very High","Single",2926,35112,1,"Excellent",1,1,1
104,34,"Research & Development",6,"Master",1,"Female","Research Scientist","High","Single",4809,57708,1,"Excellent",16,16,2
105,37,"Research & Development",2,"College",1,"Male","Healthcare Representative","Very High","Divorced",5163,61956,5,"Excellent",17,1,0
106,59,"Human Resources",2,"Master",1,"Female","Manager","Very High","Married",18844,226128,9,"Outstanding",30,3,2
107,50,"Research & Development",1,"Bachelor",1,"Female","Research Director","Medium","Married",18172,218064,3,"Excellent",28,8,0
108,25,"Sales",5,"Bachelor",1,"Male","Sales Executive","High","Single",5744,68928,1,"Excellent",6,6,0
110,22,"Research & Development",15,"Bachelor",1,"Female","Laboratory Technician","Very High","Single",2871,34452,1,"Excellent",1,0,0
111,51,"Research & Development",1,"Master",1,"Female","Healthcare Representative","Low","Single",7484,89808,3,"Outstanding",23,13,12
112,34,"Research & Development",7,"Bachelor",1,"Male","Laboratory Technician","High","Single",6074,72888,1,"Outstanding",9,9,0
113,54,"Human Resources",26,"Bachelor",1,"Female","Manager","Very High","Single",17328,207936,2,"Excellent",23,5,4
115,34,"Research & Development",6,"Master",1,"Female","Research Scientist","Medium","Divorced",4505,54060,6,"Excellent",12,1,0
116,37,"Sales",3,"Bachelor",1,"Male","Sales Executive","Very High","Single",7428,89136,2,"Excellent",12,5,1
117,34,"Research & Development",5,"Bachelor",1,"Female","Manager","Low","Single",11631,139572,2,"Excellent",14,11,5
118,36,"Sales",11,"College",1,"Female","Sales Executive","Very High","Married",9738,116856,0,"Excellent",10,9,2
119,36,"Research & Development",3,"College",1,"Female","Laboratory Technician","Very High","Divorced",2835,34020,5,"Outstanding",7,1,0
120,43,"Sales",26,"College",1,"Male","Manager","Very High","Married",16959,203508,1,"Excellent",25,25,4
121,30,"Research & Development",23,"Bachelor",1,"Male","Research Scientist","High","Divorced",2613,31356,1,"Outstanding",10,10,0
122,33,"Sales",22,"College",1,"Male","Sales Executive","Medium","Married",6146,73752,0,"Excellent",8,7,0
123,56,"Research & Development",14,"Master",1,"Female","Research Scientist","Medium","Married",4963,59556,9,"Excellent",7,5,4
124,51,"Research & Development",6,"Bachelor",1,"Male","Research Director","High","Single",19537,234444,7,"Excellent",23,20,15
125,31,"Sales",6,"Master",1,"Male","Sales Executive","High","Married",6172,74064,4,"Excellent",12,7,7
126,26,"Research & Development",6,"Bachelor",1,"Female","Research Scientist","Medium","Married",2368,28416,1,"Excellent",5,5,4
127,58,"Research & Development",23,"Master",1,"Female","Healthcare Representative","Very High","Married",10312,123744,1,"Excellent",40,40,15
130,49,"Research & Development",20,"Master",1,"Female","Manufacturing Director","Low","Married",6567,78804,1,"Excellent",16,15,5
131,43,"Research & Development",28,"Bachelor",1,"Female","Research Scientist","High","Single",4739,56868,4,"Excellent",18,3,1
132,50,"Sales",12,"Bachelor",1,"Female","Sales Executive","Very High","Single",9208,110496,4,"Excellent",16,2,2
133,31,"Sales",20,"Bachelor",1,"Female","Sales Executive","High","Married",4559,54708,3,"Excellent",4,2,2
136,36,"Research & Development",6,"College",1,"Male","Manufacturing Director","Medium","Divorced",4941,59292,6,"Outstanding",7,3,0
137,51,"Research & Development",8,"Master",1,"Male","Manufacturing Director","Very High","Single",10650,127800,2,"Excellent",18,4,0
138,39,"Sales",4,"Master",1,"Female","Sales Executive","High","Married",5902,70824,4,"Excellent",17,15,5
139,25,"Sales",28,"Bachelor",1,"Male","Sales Executive","High","Married",8639,103668,2,"Excellent",6,2,2
140,30,"Human Resources",9,"Bachelor",1,"Male","Human Resources","Very High","Married",6347,76164,0,"Excellent",12,11,4
141,32,"Research & Development",9,"Bachelor",1,"Female","Laboratory Technician","Low","Single",4200,50400,7,"Outstanding",10,5,0
142,45,"Research & Development",29,"Bachelor",1,"Male","Research Scientist","Very High","Single",3452,41424,5,"Excellent",9,6,0
143,38,"Research & Development",3,"Doctor",1,"Female","Research Scientist","High","Single",4317,51804,3,"Outstanding",19,3,2
144,30,"Research & Development",18,"Bachelor",1,"Female","Research Scientist","High","Single",2632,31584,1,"Excellent",5,5,0
145,32,"Sales",9,"College",1,"Male","Sales Executive","Very High","Divorced",4668,56016,0,"Excellent",9,8,0
146,30,"Research & Development",5,"Bachelor",1,"Female","Research Scientist","Low","Divorced",3204,38448,5,"Excellent",8,3,2
148,41,"Research & Development",10,"Bachelor",1,"Male","Manager","Low","Divorced",17181,206172,4,"Excellent",21,7,7
149,41,"Research & Development",9,"Master",1,"Male","Laboratory Technician","Low","Married",2238,26856,2,"Outstanding",7,5,1
151,40,"Research & Development",26,"Bachelor",1,"Female","Research Scientist","Medium","Divorced",5605,67260,1,"Excellent",20,20,2
152,35,"Sales",1,"Doctor",1,"Male","Sales Executive","Medium","Married",7295,87540,1,"Excellent",10,10,0
153,53,"Sales",6,"College",1,"Male","Sales Representative","High","Married",2306,27672,2,"Outstanding",13,7,4
154,45,"Research & Development",9,"Bachelor",1,"Male","Laboratory Technician","Medium","Divorced",2348,28176,8,"Excellent",20,17,0
155,32,"Sales",8,"Bachelor",1,"Female","Sales Executive","Very High","Single",8998,107976,1,"Excellent",9,9,3
157,51,"Research & Development",7,"Master",1,"Male","Manufacturing Director","High","Married",6132,73584,2,"Excellent",10,1,0
158,58,"Research & Development",9,"Bachelor",1,"Female","Research Scientist","Medium","Married",3346,40152,4,"Outstanding",9,1,0
159,40,"Sales",4,"Master",1,"Male","Sales Executive","Very High","Married",10855,130260,7,"Excellent",15,12,2
160,34,"Sales",2,"Master",1,"Female","Sales Representative","High","Married",2231,26772,6,"Excellent",6,4,1
162,27,"Research & Development",9,"Bachelor",1,"Male","Research Scientist","Medium","Divorced",2024,24288,6,"Excellent",6,2,2
163,28,"Research & Development",21,"Bachelor",1,"Male","Research Scientist","Very High","Married",2713,32556,1,"Excellent",5,5,0
164,57,"Research & Development",24,"College",1,"Male","Healthcare Representative","Very High","Divorced",9439,113268,3,"Excellent",12,5,1
165,27,"Research & Development",3,"Bachelor",1,"Male","Research Scientist","High","Divorced",2566,30792,1,"Excellent",1,1,0
166,50,"Research & Development",11,"Bachelor",1,"Female","Manager","Medium","Single",19926,239112,3,"Excellent",21,5,4
167,41,"Research & Development",14,"Bachelor",1,"Male","Research Scientist","High","Divorced",2451,29412,4,"Excellent",13,9,1
168,30,"Sales",5,"Bachelor",1,"Female","Sales Executive","Very High","Married",9419,113028,2,"Excellent",12,10,7
169,38,"Sales",1,"Master",1,"Female","Sales Executive","Very High","Single",8686,104232,4,"Outstanding",12,8,0
170,32,"Research & Development",6,"Doctor",1,"Male","Research Scientist","High","Single",3038,36456,3,"Outstanding",8,5,1
171,27,"Research & Development",17,"Bachelor",1,"Male","Research Scientist","Medium","Married",3058,36696,0,"Excellent",6,5,1
173,36,"Research & Development",3,"College",1,"Male","Laboratory Technician","Medium","Single",2088,25056,4,"Excellent",13,8,7
174,30,"Research & Development",9,"Bachelor",1,"Male","Laboratory Technician","Low","Divorced",3072,36864,1,"Excellent",12,12,6
175,45,"Sales",4,"College",1,"Female","Sales Executive","Low","Divorced",5006,60072,4,"Excellent",9,5,0
176,56,"Research & Development",8,"Bachelor",1,"Female","Research Scientist","Low","Divorced",4257,51084,4,"Excellent",19,2,2
177,33,"Research & Development",2,"Bachelor",1,"Male","Research Scientist","Very High","Single",2500,30000,0,"Excellent",4,3,0
178,19,"Research & Development",2,"Bachelor",1,"Male","Laboratory Technician","Very High","Single",1102,13224,1,"Outstanding",1,1,1
179,46,"Sales",1,"College",1,"Female","Sales Executive","Low","Divorced",10453,125436,1,"Outstanding",24,24,15
180,38,"Research & Development",9,"College",1,"Female","Laboratory Technician","Very High","Single",2288,27456,1,"Excellent",2,2,2
182,34,"Research & Development",27,"College",1,"Female","Research Scientist","Medium","Single",2311,27732,2,"Excellent",9,3,1
183,41,"Sales",20,"College",1,"Female","Sales Representative","Medium","Single",3140,37680,1,"Outstanding",4,4,0
184,50,"Research & Development",1,"Bachelor",1,"Male","Laboratory Technician","High","Married",3690,44280,2,"Excellent",5,3,0
185,53,"Research & Development",13,"College",1,"Female","Manufacturing Director","Low","Divorced",4450,53400,1,"Excellent",5,4,1
186,33,"Research & Development",14,"Bachelor",1,"Female","Research Scientist","Medium","Married",2756,33072,1,"Excellent",8,8,1
188,55,"Research & Development",14,"Master",1,"Male","Research Director","Medium","Single",18722,224664,8,"Excellent",36,24,2
190,51,"Research & Development",3,"Bachelor",1,"Female","Healthcare Representative","Medium","Single",13734,164808,3,"Excellent",21,7,1
191,52,"Research & Development",1,"Master",1,"Male","Manager","High","Married",19999,239988,0,"Excellent",34,33,11
192,27,"Research & Development",9,"Bachelor",1,"Female","Research Scientist","Medium","Single",2279,27348,1,"Excellent",7,7,0
193,35,"Research & Development",23,"College",1,"Male","Manufacturing Director","High","Married",5916,70992,3,"Excellent",8,1,0
194,43,"Research & Development",7,"Bachelor",1,"Male","Research Scientist","Very High","Divorced",2089,25068,4,"Excellent",7,5,2
195,45,"Research & Development",2,"College",1,"Male","Manager","Very High","Married",16792,201504,9,"Outstanding",22,20,11
196,37,"Research & Development",21,"Bachelor",1,"Male","Research Scientist","Low","Married",3564,42768,1,"Excellent",8,8,1
197,35,"Research & Development",2,"Bachelor",1,"Female","Laboratory Technician","Medium","Single",4425,53100,5,"Excellent",10,6,1
198,42,"Research & Development",21,"College",1,"Female","Manufacturing Director","High","Divorced",5265,63180,2,"Excellent",11,5,0
199,38,"Research & Development",2,"Master",1,"Male","Manufacturing Director","High","Married",6553,78636,9,"Excellent",14,1,0
200,38,"Research & Development",29,"Bachelor",1,"Male","Manufacturing Director","Very High","Married",6261,75132,3,"Excellent",9,7,1
202,49,"Research & Development",18,"Master",1,"Male","Manufacturing Director","Very High","Divorced",6804,81648,1,"Excellent",7,7,1
203,34,"Research & Development",10,"Master",1,"Male","Research Scientist","High","Divorced",3815,45780,1,"Excellent",5,5,2
204,40,"Research & Development",19,"College",1,"Male","Laboratory Technician","Very High","Married",2741,32892,8,"Excellent",15,7,3
206,29,"Sales",27,"Bachelor",1,"Female","Sales Executive","Very High","Married",7639,91668,1,"Outstanding",10,10,1
207,22,"Research & Development",5,"Bachelor",1,"Male","Research Scientist","Medium","Divorced",2328,27936,1,"Excellent",4,4,2
209,40,"Research & Development",9,"Doctor",1,"Male","Healthcare Representative","Very High","Married",4876,58512,9,"Excellent",5,3,0
210,46,"Research & Development",1,"Master",1,"Male","Healthcare Representative","Low","Divorced",9396,112752,7,"Excellent",17,4,0
211,32,"Sales",4,"Master",1,"Male","Sales Executive","Very High","Married",10400,124800,1,"Excellent",14,14,9
213,27,"Sales",20,"Bachelor",1,"Female","Sales Executive","High","Single",9981,119772,1,"Excellent",7,7,0
214,51,"Research & Development",8,"Master",1,"Male","Research Director","Medium","Married",12490,149880,5,"Excellent",16,10,4
215,30,"Research & Development",3,"Bachelor",1,"Female","Research Scientist","Low","Single",2657,31884,5,"Excellent",8,5,0
216,41,"Sales",6,"Bachelor",1,"Female","Manager","Very High","Single",13591,163092,3,"Excellent",16,1,0
217,30,"Sales",26,"Master",1,"Female","Sales Executive","Low","Single",6696,80352,5,"Excellent",9,6,0
218,29,"Research & Development",1,"Bachelor",1,"Male","Research Scientist","High","Single",2058,24696,0,"Excellent",7,6,1
219,45,"Sales",6,"Bachelor",1,"Female","Sales Executive","Very High","Single",8865,106380,6,"Excellent",23,19,12
220,54,"Sales",3,"Bachelor",1,"Female","Sales Executive","Low","Married",5940,71280,2,"Excellent",16,6,0
221,36,"Research & Development",5,"College",1,"Male","Laboratory Technician","Medium","Single",5914,70968,8,"Excellent",16,13,3
222,33,"Research & Development",4,"Master",1,"Female","Research Scientist","Medium","Married",2622,31464,6,"Outstanding",7,3,1
223,37,"Research & Development",11,"Bachelor",1,"Male","Research Director","Very High","Divorced",12185,146220,1,"Excellent",10,10,0
224,38,"Sales",3,"Bachelor",1,"Male","Sales Executive","High","Divorced",10609,127308,0,"Excellent",17,16,5
225,31,"Research & Development",1,"Master",1,"Male","Manufacturing Director","High","Married",4345,52140,0,"Excellent",6,5,1
226,59,"Research & Development",3,"Bachelor",1,"Male","Research Scientist","Very High","Married",2177,26124,3,"Excellent",7,1,0
227,37,"Sales",4,"Master",1,"Male","Sales Representative","Very High","Divorced",2793,33516,4,"Excellent",13,9,5
229,35,"Sales",1,"Bachelor",1,"Female","Sales Executive","High","Single",8789,105468,1,"Excellent",10,10,0
231,52,"Research & Development",2,"Bachelor",1,"Female","Laboratory Technician","Very High","Single",3212,38544,7,"Excellent",6,2,2
232,42,"Research & Development",4,"College",1,"Male","Manager","Very High","Married",19232,230784,1,"Excellent",22,22,11
233,59,"Human Resources",6,"College",1,"Male","Human Resources","High","Married",2267,27204,8,"Excellent",7,2,2
234,50,"Sales",1,"Master",1,"Female","Manager","Very High","Divorced",19517,234204,3,"Excellent",32,7,0
235,33,"Research & Development",14,"Bachelor",1,"Male","Laboratory Technician","Very High","Married",2436,29232,5,"Excellent",8,5,0
236,43,"Sales",16,"Bachelor",1,"Female","Manager","Very High","Married",16064,192768,5,"Outstanding",22,17,1
237,33,"Research & Development",2,"College",1,"Female","Laboratory Technician","Low","Married",2707,32484,7,"Outstanding",13,9,1
238,52,"Sales",2,"Master",1,"Male","Manager","High","Single",19068,228816,1,"Excellent",33,33,15
239,32,"Sales",4,"College",1,"Female","Sales Representative","Medium","Married",3931,47172,2,"Excellent",6,4,1
240,32,"Research & Development",1,"Bachelor",1,"Male","Laboratory Technician","High","Single",3730,44760,0,"Excellent",4,3,1
241,39,"Research & Development",1,"Master",1,"Female","Laboratory Technician","High","Divorced",2232,26784,7,"Excellent",7,3,1
242,32,"Sales",26,"Master",1,"Male","Sales Executive","Very High","Married",4465,53580,0,"Excellent",4,3,2
243,41,"Research & Development",19,"College",1,"Male","Research Scientist","Low","Divorced",3072,36864,2,"Excellent",17,1,0
244,40,"Research & Development",24,"College",1,"Male","Research Scientist","Very High","Divorced",3319,39828,1,"Excellent",9,9,4
245,45,"Research & Development",1,"Bachelor",1,"Male","Manager","Very High","Married",19202,230424,0,"Excellent",25,24,1
246,31,"Research & Development",3,"Master",1,"Male","Research Director","High","Divorced",13675,164100,9,"Excellent",9,2,2
247,33,"Research & Development",5,"Master",1,"Female","Research Scientist","Very High","Married",2911,34932,1,"Excellent",2,2,0
248,34,"Research & Development",2,"Master",1,"Male","Manufacturing Director","Low","Married",5957,71484,6,"Excellent",13,11,5
249,37,"Research & Development",1,"College",1,"Female","Research Scientist","Low","Married",3920,47040,2,"Excellent",17,3,0
250,45,"Research & Development",7,"Master",1,"Male","Manufacturing Director","High","Married",6434,77208,4,"Excellent",9,3,0
251,37,"Research & Development",10,"Bachelor",1,"Male","Manufacturing Director","High","Divorced",10048,120576,6,"Excellent",17,1,0
252,39,"Research & Development",2,"Master",1,"Female","Healthcare Representative","High","Single",10938,131256,0,"Outstanding",20,19,11
253,29,"Research & Development",15,"Bachelor",1,"Male","Research Scientist","Very High","Single",2340,28080,1,"Excellent",6,6,1
254,42,"Research & Development",17,"College",1,"Female","Research Scientist","Low","Single",6545,78540,3,"Excellent",10,3,0
255,29,"Sales",20,"College",1,"Male","Sales Executive","Very High","Divorced",6931,83172,2,"Excellent",10,3,0
256,25,"Research & Development",1,"Bachelor",1,"Female","Manufacturing Director","High","Married",4898,58776,0,"Excellent",5,4,1
257,42,"Research & Development",2,"Bachelor",1,"Female","Laboratory Technician","Low","Divorced",2593,31116,0,"Excellent",10,9,7
258,40,"Research & Development",2,"College",1,"Male","Research Director","High","Divorced",19436,233232,0,"Excellent",22,21,3
259,51,"Research & Development",1,"Bachelor",1,"Male","Research Scientist","Very High","Married",2723,32676,1,"Excellent",1,1,0
260,31,"Research & Development",29,"College",1,"Male","Laboratory Technician","Medium","Single",3479,41748,0,"Excellent",6,5,1
261,32,"Research & Development",7,"Bachelor",1,"Male","Laboratory Technician","Medium","Married",2794,33528,1,"Outstanding",5,5,0
262,38,"Sales",2,"College",1,"Male","Sales Executive","Very High","Married",5249,62988,3,"Excellent",13,8,7
264,46,"Sales",2,"Bachelor",1,"Female","Manager","Medium","Married",16872,202464,3,"Excellent",28,7,7
265,28,"Research & Development",2,"Master",1,"Male","Laboratory Technician","High","Single",3485,41820,2,"Excellent",5,0,0
266,29,"Sales",2,"Bachelor",1,"Male","Sales Executive","Medium","Married",6644,79728,2,"Excellent",10,0,0
267,31,"Research & Development",23,"Bachelor",1,"Male","Healthcare Representative","Very High","Married",5582,66984,0,"Outstanding",10,9,7
268,25,"Research & Development",5,"College",1,"Male","Healthcare Representative","Low","Divorced",4000,48000,1,"Excellent",6,6,1
269,45,"Research & Development",20,"College",1,"Male","Healthcare Representative","Very High","Married",13496,161952,0,"Excellent",21,20,4
270,36,"Research & Development",6,"Bachelor",1,"Male","Laboratory Technician","Very High","Married",3210,38520,0,"Excellent",16,15,10
