id,age,department,distance_from_home,education,employee_count,gender,job_role,job_satisfaction,marital_status,monthly_income,num_companies_worked,performance_rating,total_working_years,years_at_company,years_since_last_promotion,yearly_income
55,26,Sales,23,Bachelor,1,Female,Sales Executive,Very High,Married,4157,7,Excellent,5,2,0,49884
56,33,Research & Development,1,College,1,Female,Research Director,Very High,Single,13458,1,Excellent,15,15,8,161496
57,35,Sales,18,Doctor,1,Male,Sales Executive,Low,Married,9069,1,Outstanding,9,9,1,108828
58,35,Research & Development,23,Master,1,Female,Laboratory Technician,Low,Married,4014,3,Excellent,4,2,2,48168
59,31,Research & Development,7,Master,1,Male,Laboratory Technician,Very High,Divorced,5915,3,Outstanding,10,7,1,70980
60,37,Research & Development,1,Master,1,Male,Manufacturing Director,High,Divorced,5993,1,Excellent,7,7,0,71916
61,32,Research & Development,1,Bachelor,1,Male,Manufacturing Director,Very High,Married,6162,1,Outstanding,9,9,7,73944
62,38,Research & Development,29,Doctor,1,Female,Laboratory Technician,Very High,Single,2406,1,Excellent,10,10,9,28872
63,50,Research & Development,7,College,1,Female,Research Director,High,Divorced,18740,5,Excellent,29,27,13,224880
64,59,Sales,25,Bachelor,1,Female,Sales Executive,Low,Single,7637,7,Excellent,28,21,7,91644
65,36,Research & Development,8,Bachelor,1,Female,Healthcare Representative,High,Divorced,10096,1,Excellent,17,17,12,121152
66,55,Research & Development,8,Bachelor,1,Female,Manager,High,Divorced,14756,2,Excellent,21,5,0,177072
67,36,Research & Development,11,Bachelor,1,Male,Manufacturing Director,Medium,Single,6499,1,Excellent,6,6,0,77988
68,45,Research & Development,7,Bachelor,1,Male,Research Scientist,Low,Divorced,9724,2,Excellent,25,1,0,116688
69,35,Research & Development,1,Bachelor,1,Male,Research Scientist,Low,Married,2194,4,Excellent,5,3,1,26328
70,36,Research & Development,9,Bachelor,1,Male,Research Scientist,High,Married,3388,0,Excellent,2,1,0,40656
72,29,Research & Development,2,Bachelor,1,Male,Research Scientist,Medium,Married,2703,0,Outstanding,6,5,0,32436
73,31,Research & Development,1,Master,1,Male,Research Scientist,Medium,Single,2501,1,Excellent,1,1,1,30012
74,32,Research & Development,1,Bachelor,1,Male,Research Scientist,Medium,Married,6220,1,Excellent,10,10,0,74640
75,36,Research & Development,6,Bachelor,1,Female,Laboratory Technician,Very High,Married,3038,3,Excellent,5,1,0,36456
76,31,Research & Development,8,Master,1,Female,Manufacturing Director,Very High,Single,4424,1,Outstanding,11,11,1,53088
77,35,Sales,1,Master,1,Male,Sales Executive,Low,Single,4312,0,Excellent,16,15,2,51744
78,45,Research & Development,6,Master,1,Male,Research Director,Low,Married,13245,4,Excellent,17,0,0,158940
79,37,Research & Development,7,Master,1,Male,Research Director,High,Single,13664,4,Excellent,16,5,0,163968
80,46,Human Resources,5,College,1,Male,Human Resources,Medium,Divorced,5021,8,Outstanding,16,4,0,60252
82,35,Research & Development,1,Bachelor,1,Male,Research Scientist,High,Single,2859,1,Excellent,6,6,0,34308
83,55,Sales,1,College,1,Male,Sales Executive,Very High,Married,10239,3,Excellent,24,1,1,122868
84,38,Research & Development,6,Bachelor,1,Female,Research Scientist,Very High,Divorced,5329,7,Excellent,17,13,1,63948
85,34,Research & Development,1,College,1,Male,Manufacturing Director,Medium,Married,4325,1,Excellent,5,5,1,51900
86,56,Research & Development,7,Bachelor,1,Male,Manufacturing Director,Very High,Single,7260,4,Excellent,37,6,0,87120
88,51,Research & Development,9,Master,1,Male,Laboratory Technician,Very High,Married,2075,3,Outstanding,10,4,0,24900
89,30,Research & Development,2,Bachelor,1,Male,Healthcare Representative,Very High,Married,4152,1,Excellent,11,11,10,49824
90,46,Sales,9,College,1,Male,Sales Executive,Very High,Single,9619,1,Excellent,9,9,4,115428
91,40,Research & Development,1,Master,1,Male,Healthcare Representative,Medium,Married,13503,1,Outstanding,22,22,11,162036
92,51,Sales,21,Master,1,Male,Sales Executive,Very High,Single,5441,0,Outstanding,11,10,1,65292
93,30,Sales,4,College,1,Female,Sales Executive,Medium,Divorced,5209,1,Excellent,11,11,2,62508
94,46,Research & Development,1,Bachelor,1,Male,Healthcare Representative,Low,Married,10673,2,Excellent,21,10,9,128076
95,32,Sales,6,Master,1,Male,Sales Executive,High,Single,5010,1,Excellent,12,11,5,60120
96,54,Research & Development,2,Master,1,Female,Research Director,High,Married,13549,9,Excellent,16,4,0,162588
97,24,Sales,3,College,1,Female,Sales Executive,High,Married,4999,0,Outstanding,4,3,0,59988
98,28,Sales,4,Bachelor,1,Male,Sales Executive,High,Married,4221,1,Excellent,5,5,0,50652
99,58,Sales,10,Master,1,Male,Sales Executive,High,Single,13872,0,Excellent,38,37,1,166464
100,44,Research & Development,23,Bachelor,1,Male,Laboratory Technician,Medium,Married,2042,4,Excellent,17,3,1,24504
101,37,Human Resources,6,Master,1,Male,Human Resources,Low,Divorced,2073,4,Outstanding,7,3,0,24876
103,20,Research & Development,6,Bachelor,1,Female,Laboratory Technician,Very High,Single,2926,1,Excellent,1,1,1,35112
104,34,Research & Development,6,Master,1,Female,Research Scientist,High,Single,4809,1,Excellent,16,16,2,57708
105,37,Research & Development,2,College,1,Male,Healthcare Representative,Very High,Divorced,5163,5,Excellent,17,1,0,61956
106,59,Human Resources,2,Master,1,Female,Manager,Very High,Married,18844,9,Outstanding,30,3,2,226128
107,50,Research & Development,1,Bachelor,1,Female,Research Director,Medium,Married,18172,3,Excellent,28,8,0,218064
108,25,Sales,5,Bachelor,1,Male,Sales Executive,High,Single,5744,1,Excellent,6,6,0,68928
110,22,Research & Development,15,Bachelor,1,Female,Laboratory Technician,Very High,Single,2871,1,Excellent,1,0,0,34452
111,51,Research & Development,1,Master,1,Female,Healthcare Representative,Low,Single,7484,3,Outstanding,23,13,12,89808
112,34,Research & Development,7,Bachelor,1,Male,Laboratory Technician,High,Single,6074,1,Outstanding,9,9,0,72888
113,54,Human Resources,26,Bachelor,1,Female,Manager,Very High,Single,17328,2,Excellent,23,5,4,207936
115,34,Research & Development,6,Master,1,Female,Research Scientist,Medium,Divorced,4505,6,Excellent,12,1,0,54060
116,37,Sales,3,Bachelor,1,Male,Sales Executive,Very High,Single,7428,2,Excellent,12,5,1,89136
117,34,Research & Development,5,Bachelor,1,Female,Manager,Low,Single,11631,2,Excellent,14,11,5,139572
118,36,Sales,11,College,1,Female,Sales Executive,Very High,Married,9738,0,Excellent,10,9,2,116856
119,36,Research & Development,3,College,1,Female,Laboratory Technician,Very High,Divorced,2835,5,Outstanding,7,1,0,34020
120,43,Sales,26,College,1,Male,Manager,Very High,Married,16959,1,Excellent,25,25,4,203508
121,30,Research & Development,23,Bachelor,1,Male,Research Scientist,High,Divorced,2613,1,Outstanding,10,10,0,31356
122,33,Sales,22,College,1,Male,Sales Executive,Medium,Married,6146,0,Excellent,8,7,0,73752
123,56,Research & Development,14,Master,1,Female,Research Scientist,Medium,Married,4963,9,Excellent,7,5,4,59556
124,51,Research & Development,6,Bachelor,1,Male,Research Director,High,Single,19537,7,Excellent,23,20,15,234444
125,31,Sales,6,Master,1,Male,Sales Executive,High,Married,6172,4,Excellent,12,7,7,74064
126,26,Research & Development,6,Bachelor,1,Female,Research Scientist,Medium,Married,2368,1,Excellent,5,5,4,28416
127,58,Research & Development,23,Master,1,Female,Healthcare Representative,Very High,Married,10312,1,Excellent,40,40,15,123744
130,49,Research & Development,20,Master,1,Female,Manufacturing Director,Low,Married,6567,1,Excellent,16,15,5,78804
131,43,Research & Development,28,Bachelor,1,Female,Research Scientist,High,Single,4739,4,Excellent,18,3,1,56868
132,50,Sales,12,Bachelor,1,Female,Sales Executive,Very High,Single,9208,4,Excellent,16,2,2,110496
133,31,Sales,20,Bachelor,1,Female,Sales Executive,High,Married,4559,3,Excellent,4,2,2,54708
136,36,Research & Development,6,College,1,Male,Manufacturing Director,Medium,Divorced,4941,6,Outstanding,7,3,0,59292
137,51,Research & Development,8,Master,1,Male,Manufacturing Director,Very High,Single,10650,2,Excellent,18,4,0,127800
138,39,Sales,4,Master,1,Female,Sales Executive,High,Married,5902,4,Excellent,17,15,5,70824
139,25,Sales,28,Bachelor,1,Male,Sales Executive,High,Married,8639,2,Excellent,6,2,2,103668
140,30,Human Resources,9,Bachelor,1,Male,Human Resources,Very High,Married,6347,0,Excellent,12,11,4,76164
141,32,Research & Development,9,Bachelor,1,Female,Laboratory Technician,Low,Single,4200,7,Outstanding,10,5,0,50400
142,45,Research & Development,29,Bachelor,1,Male,Research Scientist,Very High,Single,3452,5,Excellent,9,6,0,41424
143,38,Research & Development,3,Doctor,1,Female,Research Scientist,High,Single,4317,3,Outstanding,19,3,2,51804
144,30,Research & Development,18,Bachelor,1,Female,Research Scientist,High,Single,2632,1,Excellent,5,5,0,31584
145,32,Sales,9,College,1,Male,Sales Executive,Very High,Divorced,4668,0,Excellent,9,8,0,56016
146,30,Research & Development,5,Bachelor,1,Female,Research Scientist,Low,Divorced,3204,5,Excellent,8,3,2,38448
148,41,Research & Development,10,Bachelor,1,Male,Manager,Low,Divorced,17181,4,Excellent,21,7,7,206172
149,41,Research & Development,9,Master,1,Male,Laboratory Technician,Low,Married,2238,2,Outstanding,7,5,1,26856
151,40,Research & Development,26,Bachelor,1,Female,Research Scientist,Medium,Divorced,5605,1,Excellent,20,20,2,67260
152,35,Sales,1,Doctor,1,Male,Sales Executive,Medium,Married,7295,1,Excellent,10,10,0,87540
153,53,Sales,6,College,1,Male,Sales Representative,High,Married,2306,2,Outstanding,13,7,4,27672
154,45,Research & Development,9,Bachelor,1,Male,Laboratory Technician,Medium,Divorced,2348,8,Excellent,20,17,0,28176
155,32,Sales,8,Bachelor,1,Female,Sales Executive,Very High,Single,8998,1,Excellent,9,9,3,107976
157,51,Research & Development,7,Master,1,Male,Manufacturing Director,High,Married,6132,2,Excellent,10,1,0,73584
158,58,Research & Development,9,Bachelor,1,Female,Research Scientist,Medium,Married,3346,4,Outstanding,9,1,0,40152
159,40,Sales,4,Master,1,Male,Sales Executive,Very High,Married,10855,7,Excellent,15,12,2,130260
160,34,Sales,2,Master,1,Female,Sales Representative,High,Married,2231,6,Excellent,6,4,1,26772
162,27,Research & Development,9,Bachelor,1,Male,Research Scientist,Medium,Divorced,2024,6,Excellent,6,2,2,24288
163,28,Research & Development,21,Bachelor,1,Male,Research Scientist,Very High,Married,2713,1,Excellent,5,5,0,32556
164,57,Research & Development,24,College,1,Male,Healthcare Representative,Very High,Divorced,9439,3,Excellent,12,5,1,113268
165,27,Research & Development,3,Bachelor,1,Male,Research Scientist,High,Divorced,2566,1,Excellent,1,1,0,30792
166,50,Research & Development,11,Bachelor,1,Female,Manager,Medium,Single,19926,3,Excellent,21,5,4,239112
167,41,Research & Development,14,Bachelor,1,Male,Research Scientist,High,Divorced,2451,4,Excellent,13,9,1,29412
168,30,Sales,5,Bachelor,1,Female,Sales Executive,Very High,Married,9419,2,Excellent,12,10,7,113028
169,38,Sales,1,Master,1,Female,Sales Executive,Very High,Single,8686,4,Outstanding,12,8,0,104232
170,32,Research & Development,6,Doctor,1,Male,Research Scientist,High,Single,3038,3,Outstanding,8,5,1,36456
171,27,Research & Development,17,Bachelor,1,Male,Research Scientist,Medium,Married,3058,0,Excellent,6,5,1,36696
173,36,Research & Development,3,College,1,Male,Laboratory Technician,Medium,Single,2088,4,Excellent,13,8,7,25056
174,30,Research & Development,9,Bachelor,1,Male,Laboratory Technician,Low,Divorced,3072,1,Excellent,12,12,6,36864
175,45,Sales,4,College,1,Female,Sales Executive,Low,Divorced,5006,4,Excellent,9,5,0,60072
176,56,Research & Development,8,Bachelor,1,Female,Research Scientist,Low,Divorced,4257,4,Excellent,19,2,2,51084
177,33,Research & Development,2,Bachelor,1,Male,Research Scientist,Very High,Single,2500,0,Excellent,4,3,0,30000
178,19,Research & Development,2,Bachelor,1,Male,Laboratory Technician,Very High,Single,1102,1,Outstanding,1,1,1,13224
179,46,Sales,1,College,1,Female,Sales Executive,Low,Divorced,10453,1,Outstanding,24,24,15,125436
180,38,Research & Development,9,College,1,Female,Laboratory Technician,Very High,Single,2288,1,Excellent,2,2,2,27456
182,34,Research & Development,27,College,1,Female,Research Scientist,Medium,Single,2311,2,Excellent,9,3,1,27732
183,41,Sales,20,College,1,Female,Sales Representative,Medium,Single,3140,1,Outstanding,4,4,0,37680
184,50,Research & Development,1,Bachelor,1,Male,Laboratory Technician,High,Married,3690,2,Excellent,5,3,0,44280
185,53,Research & Development,13,College,1,Female,Manufacturing Director,Low,Divorced,4450,1,Excellent,5,4,1,53400
186,33,Research & Development,14,Bachelor,1,Female,Research Scientist,Medium,Married,2756,1,Excellent,8,8,1,33072
188,55,Research & Development,14,Master,1,Male,Research Director,Medium,Single,18722,8,Excellent,36,24,2,224664
190,51,Research & Development,3,Bachelor,1,Female,Healthcare Representative,Medium,Single,13734,3,Excellent,21,7,1,164808
191,52,Research & Development,1,Master,1,Male,Manager,High,Married,19999,0,Excellent,34,33,11,239988
192,27,Research & Development,9,Bachelor,1,Female,Research Scientist,Medium,Single,2279,1,Excellent,7,7,0,27348
193,35,Research & Development,23,College,1,Male,Manufacturing Director,High,Married,5916,3,Excellent,8,1,0,70992
194,43,Research & Development,7,Bachelor,1,Male,Research Scientist,Very High,Divorced,2089,4,Excellent,7,5,2,25068
195,45,Research & Development,2,College,1,Male,Manager,Very High,Married,16792,9,Outstanding,22,20,11,201504
196,37,Research & Development,21,Bachelor,1,Male,Research Scientist,Low,Married,3564,1,Excellent,8,8,1,42768
197,35,Research & Development,2,Bachelor,1,Female,Laboratory Technician,Medium,Single,4425,5,Excellent,10,6,1,53100
198,42,Research & Development,21,College,1,Female,Manufacturing Director,High,Divorced,5265,2,Excellent,11,5,0,63180
199,38,Research & Development,2,Master,1,Male,Manufacturing Director,High,Married,6553,9,Excellent,14,1,0,78636
200,38,Research & Development,29,Bachelor,1,Male,Manufacturing Director,Very High,Married,6261,3,Excellent,9,7,1,75132
202,49,Research & Development,18,Master,1,Male,Manufacturing Director,Very High,Divorced,6804,1,Excellent,7,7,1,81648
203,34,Research & Development,10,Master,1,Male,Research Scientist,High,Divorced,3815,1,Excellent,5,5,2,45780
204,40,Research & Development,19,College,1,Male,Laboratory Technician,Very High,Married,2741,8,Excellent,15,7,3,32892
206,29,Sales,27,Bachelor,1,Female,Sales Executive,Very High,Married,7639,1,Outstanding,10,10,1,91668
207,22,Research & Development,5,Bachelor,1,Male,Research Scientist,Medium,Divorced,2328,1,Excellent,4,4,2,27936
209,40,Research & Development,9,Doctor,1,Male,Healthcare Representative,Very High,Married,4876,9,Excellent,5,3,0,58512
210,46,Research & Development,1,Master,1,Male,Healthcare Representative,Low,Divorced,9396,7,Excellent,17,4,0,112752
211,32,Sales,4,Master,1,Male,Sales Executive,Very High,Married,10400,1,Excellent,14,14,9,124800
213,27,Sales,20,Bachelor,1,Female,Sales Executive,High,Single,9981,1,Excellent,7,7,0,119772
214,51,Research & Development,8,Master,1,Male,Research Director,Medium,Married,12490,5,Excellent,16,10,4,149880
215,30,Research & Development,3,Bachelor,1,Female,Research Scientist,Low,Single,2657,5,Excellent,8,5,0,31884
216,41,Sales,6,Bachelor,1,Female,Manager,Very High,Single,13591,3,Excellent,16,1,0,163092
217,30,Sales,26,Master,1,Female,Sales Executive,Low,Single,6696,5,Excellent,9,6,0,80352
218,29,Research & Development,1,Bachelor,1,Male,Research Scientist,High,Single,2058,0,Excellent,7,6,1,24696
219,45,Sales,6,Bachelor,1,Female,Sales Executive,Very High,Single,8865,6,Excellent,23,19,12,106380
220,54,Sales,3,Bachelor,1,Female,Sales Executive,Low,Married,5940,2,Excellent,16,6,0,71280
221,36,Research & Development,5,College,1,Male,Laboratory Technician,Medium,Single,5914,8,Excellent,16,13,3,70968
222,33,Research & Development,4,Master,1,Female,Research Scientist,Medium,Married,2622,6,Outstanding,7,3,1,31464
223,37,Research & Development,11,Bachelor,1,Male,Research Director,Very High,Divorced,12185,1,Excellent,10,10,0,146220
224,38,Sales,3,Bachelor,1,Male,Sales Executive,High,Divorced,10609,0,Excellent,17,16,5,127308
225,31,Research & Development,1,Master,1,Male,Manufacturing Director,High,Married,4345,0,Excellent,6,5,1,52140
226,59,Research & Development,3,Bachelor,1,Male,Research Scientist,Very High,Married,2177,3,Excellent,7,1,0,26124
227,37,Sales,4,Master,1,Male,Sales Representative,Very High,Divorced,2793,4,Excellent,13,9,5,33516
229,35,Sales,1,Bachelor,1,Female,Sales Executive,High,Single,8789,1,Excellent,10,10,0,105468
231,52,Research & Development,2,Bachelor,1,Female,Laboratory Technician,Very High,Single,3212,7,Excellent,6,2,2,38544
232,42,Research & Development,4,College,1,Male,Manager,Very High,Married,19232,1,Excellent,22,22,11,230784
233,59,Human Resources,6,College,1,Male,Human Resources,High,Married,2267,8,Excellent,7,2,2,27204
234,50,Sales,1,Master,1,Female,Manager,Very High,Divorced,19517,3,Excellent,32,7,0,234204
235,33,Research & Development,14,Bachelor,1,Male,Laboratory Technician,Very High,Married,2436,5,Excellent,8,5,0,29232
236,43,Sales,16,Bachelor,1,Female,Manager,Very High,Married,16064,5,Outstanding,22,17,1,192768
237,33,Research & Development,2,College,1,Female,Laboratory Technician,Low,Married,2707,7,Outstanding,13,9,1,32484
238,52,Sales,2,Master,1,Male,Manager,High,Single,19068,1,Excellent,33,33,15,228816
239,32,Sales,4,College,1,Female,Sales Representative,Medium,Married,3931,2,Excellent,6,4,1,47172
240,32,Research & Development,1,Bachelor,1,Male,Laboratory Technician,High,Single,3730,0,Excellent,4,3,1,44760
241,39,Research & Development,1,Master,1,Female,Laboratory Technician,High,Divorced,2232,7,Excellent,7,3,1,26784
242,32,Sales,26,Master,1,Male,Sales Executive,Very High,Married,4465,0,Excellent,4,3,2,53580
243,41,Research & Development,19,College,1,Male,Research Scientist,Low,Divorced,3072,2,Excellent,17,1,0,36864
244,40,Research & Development,24,College,1,Male,Research Scientist,Very High,Divorced,3319,1,Excellent,9,9,4,39828
245,45,Research & Development,1,Bachelor,1,Male,Manager,Very High,Married,19202,0,Excellent,25,24,1,230424
246,31,Research & Development,3,Master,1,Male,Research Director,High,Divorced,13675,9,Excellent,9,2,2,164100
247,33,Research & Development,5,Master,1,Female,Research Scientist,Very High,Married,2911,1,Excellent,2,2,0,34932
248,34,Research & Development,2,Master,1,Male,Manufacturing Director,Low,Married,5957,6,Excellent,13,11,5,71484
249,37,Research & Development,1,College,1,Female,Research Scientist,Low,Married,3920,2,Excellent,17,3,0,47040
250,45,Research & Development,7,Master,1,Male,Manufacturing Director,High,Married,6434,4,Excellent,9,3,0,77208
251,37,Research & Development,10,Bachelor,1,Male,Manufacturing Director,High,Divorced,10048,6,Excellent,17,1,0,120576
252,39,Research & Development,2,Master,1,Female,Healthcare Representative,High,Single,10938,0,Outstanding,20,19,11,131256
253,29,Research & Development,15,Bachelor,1,Male,Research Scientist,Very High,Single,2340,1,Excellent,6,6,1,28080
254,42,Research & Development,17,College,1,Female,Research Scientist,Low,Single,6545,3,Excellent,10,3,0,78540
255,29,Sales,20,College,1,Male,Sales Executive,Very High,Divorced,6931,2,Excellent,10,3,0,83172
256,25,Research & Development,1,Bachelor,1,Female,Manufacturing Director,High,Married,4898,0,Excellent,5,4,1,58776
257,42,Research & Development,2,Bachelor,1,Female,Laboratory Technician,Low,Divorced,2593,0,Excellent,10,9,7,31116
258,40,Research & Development,2,College,1,Male,Research Director,High,Divorced,19436,0,Excellent,22,21,3,233232
259,51,Research & Development,1,Bachelor,1,Male,Research Scientist,Very High,Married,2723,1,Excellent,1,1,0,32676
260,31,Research & Development,29,College,1,Male,Laboratory Technician,Medium,Single,3479,0,Excellent,6,5,1,41748
261,32,Research & Development,7,Bachelor,1,Male,Laboratory Technician,Medium,Married,2794,1,Outstanding,5,5,0,33528
262,38,Sales,2,College,1,Male,Sales Executive,Very High,Married,5249,3,Excellent,13,8,7,62988
264,46,Sales,2,Bachelor,1,Female,Manager,Medium,Married,16872,3,Excellent,28,7,7,202464
265,28,Research & Development,2,Master,1,Male,Laboratory Technician,High,Single,3485,2,Excellent,5,0,0,41820
266,29,Sales,2,Bachelor,1,Male,Sales Executive,Medium,Married,6644,2,Excellent,10,0,0,79728
267,31,Research & Development,23,Bachelor,1,Male,Healthcare Representative,Very High,Married,5582,0,Outstanding,10,9,7,66984
268,25,Research & Development,5,College,1,Male,Healthcare Representative,Low,Divorced,4000,1,Excellent,6,6,1,48000
269,45,Research & Development,20,College,1,Male,Healthcare Representative,Very High,Married,13496,0,Excellent,21,20,4,161952
270,36,Research & Development,6,Bachelor,1,Male,Laboratory Technician,Very High,Married,3210,0,Excellent,16,15,10,38520
271,55,Research & Development,1,Bachelor,1,Male,Manager,Low,Single,19045,0,Excellent,37,36,4,228540
272,47,Research & Development,29,Master,1,Male,Manager,Medium,Married,11849,1,Excellent,10,10,9,142188
273,28,Research & Development,9,Bachelor,1,Male,Research Scientist,Very High,Married,2070,1,Outstanding,5,5,0,24840
274,37,Sales,6,Master,1,Male,Sales Executive,Very High,Married,6502,4,Excellent,7,5,0,78024
275,21,Research & Development,3,College,1,Male,Research Scientist,High,Single,3230,1,Excellent,3,3,1,38760
276,37,Research & Development,1,Master,1,Female,Research Director,Very High,Divorced,13603,2,Excellent,15,5,0,163236
277,35,Research & Development,22,Bachelor,1,Female,Manager,Medium,Divorced,11996,7,Excellent,10,7,6,143952
278,38,Sales,7,College,1,Female,Sales Executive,Low,Divorced,5605,1,Outstanding,8,8,7,67260
279,26,Research & Development,1,Bachelor,1,Female,Manufacturing Director,Medium,Divorced,6397,1,Outstanding,6,6,1,76764
281,53,Research & Development,3,Master,1,Male,Research Director,High,Married,17584,3,Excellent,21,5,1,211008
283,29,Sales,2,College,1,Male,Sales Executive,Very High,Single,4554,1,Excellent,10,10,0,54648
284,55,Research & Development,20,College,1,Male,Laboratory Technician,Very High,Married,5415,3,Excellent,12,10,0,64980
285,26,Research & Development,11,College,1,Male,Healthcare Representative,Low,Married,4741,1,Excellent,5,5,3,56892
286,37,Research & Development,1,Bachelor,1,Female,Research Scientist,Very High,Single,2115,1,Excellent,17,17,5,25380
287,44,Research & Development,24,Bachelor,1,Male,Laboratory Technician,High,Divorced,3161,3,Outstanding,19,1,0,37932
288,38,Research & Development,23,Master,1,Male,Healthcare Representative,Very High,Divorced,5745,9,Excellent,10,2,1,68940
289,26,Research & Development,16,Master,1,Male,Laboratory Technician,Medium,Divorced,2373,2,Excellent,5,3,0,28476
290,28,Research & Development,8,College,1,Female,Research Scientist,Very High,Single,3310,1,Outstanding,5,5,0,39720
